ID,Name,ImageURL1,ImageURL2,DesignType,ProductCode
"ZdaAbNNy5xOfIxQenZhZ","MILLIY","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"Zr0ZB14zYkbIWSf2zKsS","DENDY","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"aKc1MluUxXLS8UP2Ejij","OSIYO PALACE","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","N/A","unique","N/A"
"aMyCWalNRYTFvWSSPPUc","TCHIBO COFFEE","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"aQbOzq4amOGizDrfWkYl","FRANKFORT EXPO","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"aWSqjrWYD7Lgwwh06vrF","SULTAN","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"ahEdQ1rR060yU4nugHR3","DOLCE FREDO (OQ RANG)","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"bBp2797N91JDSaTpRR6n","LES AILES","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"c1iaUBnsTStMg3Ey4cNg","LEAF COFFEE","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"cIiBoVJ5QkFWnP1d4EdG","RODENA (JIGARRANG SHAKAR)","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"cKkIBWwvahGbSyX3SBHQ","BEK OSIYO FIOLETOVIY","https://ik.imagekit.io/php1jcf0t/Bek_Osiyo_2023_new_color_65y7DL_PzN.JPG","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"carTIElKmJSyfMvQDL2u","BREADLY (OQ SHAKAR)","https://ik.imagekit.io/php1jcf0t/breadly_oq_dH2kbtt4OZ.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"csb8FJIJj2yD10jbSJz2","MAKKON","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
